system,facility,carrier,code,code_type,setting,billing_class,hospital_plan,payer_plan,expected_cause,labelled_by,labelled_on,note,hospital_rate,payer_rate,payer_min,payer_max,payer_count,inside_payer_range,ratio,relative_difference,hospital_vintage,payer_vintage,vintage_gap_days,notes,triage_rule
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75831,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,770.31,4660.68,4194.61,4660.68,3,False,6.05039529540055,5.05039529540055,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75860,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,799.2,4660.68,4194.61,4660.68,3,False,5.83168168168168,4.83168168168168,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75885,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,799.2,4660.68,4194.61,4660.68,3,False,5.83168168168168,4.83168168168168,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,75887,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,802.44,4660.68,4194.61,4660.68,3,False,5.80813518767758,4.80813518767758,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,76977,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,42.45,306.12,275.51,306.12,3,False,7.21130742049469,6.21130742049469,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,77300,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,ratio ~0.1x suggests billing class mismatch; hospital is likely facility rate and payer is professional component,3797,494.65,445.18,494.65,3,False,0.130273900447721,6.676134640655,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,77332,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,3797,494.65,445.18,494.65,3,False,0.130273900447721,6.676134640655,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,77789,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,3797,447.94,403.15,447.94,3,False,0.117972083223597,7.4765816850471,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,78808,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,2652.01,412.01,370.81,412.01,3,False,0.15535763439806,5.43676124365913,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,81007,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,266.15,27.8,25.02,27.8,3,False,0.104452376479428,8.57374100719424,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,85366,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,718.28,93.22,83.9,93.22,3,False,0.129782257615414,6.70521347350353,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,87582,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,2696.88,452.01,406.81,452.01,3,False,0.167604787754738,4.96641667219751,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,88235,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,1619.37,278.42,250.58,278.42,3,False,0.171931059609601,4.81628474965878,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,88239,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,1622.62,222.49,200.24,222.49,3,False,0.137117747839913,6.29300193267113,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,unexplained
Montefiore,Montefiore Medical Center|Montefiore Hospital - Moses DIV|Montefiore Medical Center - Weiler (Einstein Campus)|Montefiore Medical Center - Wakefield|Montefiore Medical Center - Hutchinson Campus|Montefiore Medical Center - Westchester Square|Montefiore Medical Center – Children’s Hospital at Montefiore Einstein,Cigna,88355,CPT,outpatient,,LocalPlus,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,433.64,2781.21,2503.09,2781.21,3,False,6.41363804077114,5.41363804077114,2026-04-01,2026-08-01,122,hospital billing class unstated; assumed facility because this system publishes no professional rates,systematic_offset
Mount Sinai,Mount Sinai Beth Israel,Anthem / Empire BCBS,77371,HCPCS,outpatient,facility,Empire Bc - Ppo - Bi,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,"consistent ~9.5x ratio suggests a difference in pricing methodology or units (per-diem vs case rate, or facility vs professional)",3928.305,36286.745,36121.05,44405.7,4,False,9.2372524536664,8.2372524536664,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Beth Israel,Anthem / Empire BCBS,77767,HCPCS,outpatient,facility,Empire Bc - Ppo - Bi,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,633.895,6086.45,6058.66,7448.26,4,False,9.6016690461354,8.6016690461354,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Brooklyn,Anthem / Empire BCBS,77371,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Brook,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,3673.81,36286.745,36121.05,44405.7,4,False,9.87714253050647,8.87714253050647,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Morningside/West,Anthem / Empire BCBS,77417,HCPCS,outpatient,facility,Empire Bc - Ppo - Slw,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,58.44,561.494999999999,558.93,687.13,4,False,9.60805954825462,8.60805954825462,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Morningside/West,Anthem / Empire BCBS,77767,HCPCS,outpatient,facility,Empire Bc - Ppo - Slw,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,653.26,6086.45,6058.66,7448.26,4,False,9.31704068824051,8.31704068824051,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Morningside/West,Anthem / Empire BCBS,G0340,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Slw,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,6862,67427.5,65866,77489,4,False,9.82621684640046,8.82621684640046,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Morningside/West,Anthem / Empire BCBS,G0340,HCPCS,outpatient,facility,Empire Bc - Ppo - Slw,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,6862,67427.5,65866,77489,4,False,9.82621684640046,8.82621684640046,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Queens,Anthem / Empire BCBS,C9601,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Msq,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,4414,41758,40792,47990,4,False,9.46035342093339,8.46035342093339,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Queens,Anthem / Empire BCBS,C9603,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Msq,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,4414,41758,40792,47990,4,False,9.46035342093339,8.46035342093339,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Queens,Anthem / Empire BCBS,C9605,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Msq,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,4414,41758,40792,47990,4,False,9.46035342093339,8.46035342093339,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Queens,Anthem / Empire BCBS,C9608,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Msq,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,4414,41758,40792,47990,4,False,9.46035342093339,8.46035342093339,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,Mount Sinai Queens,Cigna,55875,HCPCS,outpatient,facility,Cigna Localplus - Msq,LocalPlus; NationalOAP; NationalPPO,insufficient_evidence,Erjon,2026-09-24,~2x multiplier on this code family; cause cannot be determined from these fields alone,9448,25236,20946,27760,3,False,2.67104149026248,1.67104149026248,2026-04-01,2026-08-01,122,,unexplained
Mount Sinai,Mount Sinai Queens,Cigna,55875,HCPCS,outpatient,facility,Cigna Ppo - Msq,LocalPlus; NationalOAP; NationalPPO,insufficient_evidence,Erjon,2026-09-24,,12521,25236,20946,27760,3,False,2.01549397013018,1.01549397013018,2026-04-01,2026-08-01,122,,unexplained
Mount Sinai,Mount Sinai Queens,Cigna,G0306,HCPCS,outpatient,facility,Cigna Ppo - Msq,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,consistent ~0.5x on this code family suggests a setting or component methodology difference,562.75,284.38,236.03,312.815,3,False,0.505339848956019,0.978866305647373,2026-04-01,2026-08-01,122,,unexplained
Mount Sinai,Mount Sinai Queens,Cigna,G0328,HCPCS,outpatient,facility,Cigna Localplus - Msq,LocalPlus; NationalOAP; NationalPPO,insufficient_evidence,Erjon,2026-09-24,,8.7,19.6699999999999,16.325,21.635,3,False,2.26091954022988,1.26091954022988,2026-04-01,2026-08-01,122,,unexplained
Mount Sinai,Mount Sinai Queens,Cigna,G0404,HCPCS,outpatient,facility,Cigna Ppo - Msq,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,562.76,297.48,246.91,327.23,3,False,0.528608998507356,0.891757429070861,2026-04-01,2026-08-01,122,,systematic_offset
Mount Sinai,Mount Sinai Queens,Cigna,G0422,HCPCS,outpatient,facility,Cigna Ppo - Msq,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,2033.62,1096.105,909.77,1205.72,3,False,0.538992043744652,0.85531495614015,2026-04-01,2026-08-01,122,,systematic_offset
Mount Sinai,Mount Sinai Queens,Cigna,G0423,HCPCS,outpatient,facility,Cigna Ppo - Msq,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,2440.24,1296.64,1076.215,1426.31,3,False,0.531357571386421,0.88197186574531,2026-04-01,2026-08-01,122,,systematic_offset
Mount Sinai,Mount Sinai Queens,Cigna,G9143,HCPCS,outpatient,facility,Cigna Localplus - Msq,LocalPlus; NationalOAP; NationalPPO,insufficient_evidence,Erjon,2026-09-24,,56.85,143.255,118.905,157.579999999999,3,False,2.51987686895338,1.51987686895338,2026-04-01,2026-08-01,122,,unexplained
Mount Sinai,Mount Sinai Queens,Cigna,G9143,HCPCS,outpatient,facility,Cigna Ppo - Msq,LocalPlus; NationalOAP; NationalPPO,insufficient_evidence,Erjon,2026-09-24,,75.34,143.255,118.905,157.579999999999,3,False,1.90144677462171,0.901446774621714,2026-04-01,2026-08-01,122,,systematic_offset
Mount Sinai,Mount Sinai Queens,Cigna,P3000,HCPCS,outpatient,facility,Cigna Ppo - Msq,LocalPlus; NationalOAP; NationalPPO,units_or_methodology,Erjon,2026-09-24,,215.13,115.389999999999,95.77,126.929999999999,3,False,0.536373355645423,0.864372995926856,2026-04-01,2026-08-01,122,,systematic_offset
Mount Sinai,Mount Sinai Queens,Cigna,Q0111,HCPCS,outpatient,facility,Cigna Localplus - Msq,LocalPlus; NationalOAP; NationalPPO,insufficient_evidence,Erjon,2026-09-24,,2.96,5.685,4.715,6.255,3,False,1.9206081081081,0.920608108108108,2026-04-01,2026-08-01,122,,systematic_offset
Mount Sinai,Mount Sinai Queens,Cigna,Q0112,HCPCS,outpatient,facility,Cigna Localplus - Msq,LocalPlus; NationalOAP; NationalPPO,insufficient_evidence,Erjon,2026-09-24,,2.96,5.685,4.715,6.255,3,False,1.9206081081081,0.920608108108108,2026-04-01,2026-08-01,122,,systematic_offset
Mount Sinai,Mount Sinai Queens,Cigna,Q0115,HCPCS,outpatient,facility,Cigna Localplus - Msq,LocalPlus; NationalOAP; NationalPPO,insufficient_evidence,Erjon,2026-09-24,,7.28,13.465,11.175,14.8099999999999,3,False,1.84958791208791,0.849587912087912,2026-04-01,2026-08-01,122,,systematic_offset
Mount Sinai,Mount Sinai Queens,Cigna,S3722,HCPCS,outpatient,facility,Cigna Localplus - Msq,LocalPlus; NationalOAP; NationalPPO,insufficient_evidence,Erjon,2026-09-24,,9.61,18.29,15.185,20.12,3,False,1.90322580645161,0.903225806451612,2026-04-01,2026-08-01,122,,systematic_offset
Mount Sinai,New York Eye and Ear Infirmary of Mount Sinai,Anthem / Empire BCBS,77371,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Nyeei,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,3656.23,36286.745,36121.05,44405.7,4,False,9.92463411765671,8.92463411765671,2026-04-01,2026-09-01,153,,unexplained
Mount Sinai,New York Eye and Ear Infirmary of Mount Sinai,Anthem / Empire BCBS,77767,HCPCS,outpatient,facility,Empire Bc - Ppo - Nyeei,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,657.88,6086.45,6058.66,7448.26,4,False,9.25161123609168,8.25161123609168,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,New York Eye and Ear Infirmary of Mount Sinai,Anthem / Empire BCBS,G0340,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Nyeei,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,7075,67427.5,65866,77489,4,False,9.5303886925795,8.5303886925795,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,New York Eye and Ear Infirmary of Mount Sinai,Anthem / Empire BCBS,G0340,HCPCS,outpatient,facility,Empire Bc - Ppo - Nyeei,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,7075,67427.5,65866,77489,4,False,9.5303886925795,8.5303886925795,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93600,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,5880,53984.5,50980.5,62041,4,False,9.18103741496598,8.18103741496598,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93602,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,5880,53984.5,50980.5,62041,4,False,9.18103741496598,8.18103741496598,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93603,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,5880,53984.5,50980.5,62041,4,False,9.18103741496598,8.18103741496598,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93609,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,5880,53984.5,50980.5,62041,4,False,9.18103741496598,8.18103741496598,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93610,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,5880,53984.5,50980.5,62041,4,False,9.18103741496598,8.18103741496598,2026-04-01,2026-09-01,153,,systematic_offset
Mount Sinai,The Mount Sinai Hospital,Anthem / Empire BCBS,93612,HCPCS,outpatient,facility,Empire Bc - Blue Priority Ppo - Tmsh,ConnectionEPO; EPO; PPO; SmallGroupEPO,units_or_methodology,Erjon,2026-09-24,,5880,53984.5,50980.5,62041,4,False,9.18103741496598,8.18103741496598,2026-04-01,2026-09-01,153,,systematic_offset
